win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2891594894,Red,1,1,0,1,0.0,3.0,11.0,58971.0,2.0
2891625665,Blue,1,1,1,0,1.0,3.0,11.0,58257.0,2.0
2891625665,Red,0,0,0,1,0.0,0.0,1.0,45382.0,1.0
2891656844,Blue,1,0,1,1,0.0,0.0,2.0,42745.0,1.0
2891656844,Red,0,0,0,0,0.0,0.0,6.0,52751.0,1.0
2891659873,Blue,1,1,1,1,1.0,1.0,10.0,58994.0,3.0
2891659873,Red,0,0,0,0,0.0,0.0,0.0,45020.0,0.0
2891751047,Blue,1,1,0,1,0.0,3.0,9.0,58235.0,3.0
2891751047,Red,0,0,1,0,0.0,0.0,0.0,46273.0,0.0
2891855222,Blue,0,0,1,0,0.0,0.0,3.0,42026.0,0.0
2891855222,Red,1,0,0,1,1.0,0.0,4.0,50224.0,2.0
2892074527,Blue,1,1,1,0,1.0,2.0,8.0,51155.0,2.0
2892074527,Red,0,0,0,1,0.0,0.0,1.0,38832.0,0.0
2892079437,Blue,1,1,1,0,1.0,2.0,11.0,62088.0,1.0
2892079437,Red,0,0,0,1,0.0,0.0,1.0,45347.0,1.0
2892154262,Blue,0,0,0,0,0.0,0.0,1.0,48468.0,1.0
2892154262,Red,1,1,1,1,0.0,1.0,8.0,59511.0,2.0
2892274557,Blue,0,0,0,0,0.0,0.0,2.0,39914.0,0.0
2892274557,Red,1,1,1,1,1.0,1.0,9.0,53961.0,2.0
2892342710,Blue,1,1,0,1,1.0,3.0,10.0,54368.0,3.0
2892342710,Red,0,0,1,0,0.0,0.0,2.0,45171.0,0.0
2892577315,Blue,1,1,1,1,1.0,2.0,9.0,57581.0,3.0
2892577315,Red,0,0,0,0,0.0,0.0,0.0,41090.0,0.0
2892689593,Blue,0,1,0,1,0.0,1.0,7.0,50650.0,2.0
2892689593,Red,1,0,1,0,0.0,0.0,4.0,47957.0,1.0
2892722578,Blue,0,1,1,1,0.0,1.0,7.0,53235.0,0.0
2892722578,Red,1,0,0,0,0.0,0.0,4.0,49330.0,2.0
2892744758,Blue,0,0,1,1,0.0,0.0,2.0,37595.0,0.0
2892744758,Red,1,1,0,0,0.0,1.0,7.0,49915.0,2.0
2892813961,Blue,1,1,1,1,1.0,2.0,9.0,56416.0,3.0
2892813961,Red,0,0,0,0,0.0,0.0,0.0,41977.0,0.0
2892871428,Blue,1,1,1,1,1.0,1.0,9.0,55150.0,1.0
2892871428,Red,0,0,0,0,0.0,0.0,2.0,41978.0,2.0
2892950733,Blue,0,0,1,0,0.0,0.0,2.0,47148.0,0.0
2892950733,Red,1,1,0,1,0.0,1.0,7.0,57198.0,2.0
2892955562,Blue,1,1,1,1,0.0,1.0,8.0,55793.0,3.0
2892955562,Red,0,0,0,0,0.0,0.0,2.0,48806.0,0.0
2893170084,Blue,0,0,0,0,0.0,0.0,1.0,41352.0,0.0
2893170084,Red,1,1,1,1,0.0,3.0,11.0,60953.0,2.0
2893263178,Blue,1,1,1,1,1.0,1.0,10.0,57779.0,3.0
2893263178,Red,0,0,0,0,0.0,0.0,3.0,44755.0,0.0
2893395607,Blue,1,1,1,0,1.0,1.0,10.0,53642.0,2.0
2893395607,Red,0,0,0,1,0.0,0.0,3.0,42844.0,0.0
2893524473,Blue,1,1,1,1,1.0,3.0,11.0,56420.0,3.0
2893524473,Red,0,0,0,0,0.0,0.0,1.0,40745.0,0.0
2893585160,Blue,0,0,0,0,0.0,0.0,0.0,39155.0,0.0
2893585160,Red,1,1,1,1,1.0,2.0,11.0,58729.0,3.0
2893934343,Blue,0,0,1,0,0.0,0.0,1.0,45952.0,0.0
2893934343,Red,1,1,0,1,1.0,3.0,11.0,60752.0,2.0
2893977198,Blue,1,1,1,1,1.0,3.0,11.0,55042.0,2.0
2893977198,Red,0,0,0,0,0.0,0.0,0.0,37555.0,0.0
2893999964,Blue,0,0,1,0,0.0,0.0,2.0,51116.0,0.0
2893999964,Red,1,1,0,1,1.0,2.0,9.0,58736.0,3.0
2894022903,Blue,0,0,1,0,0.0,0.0,0.0,42957.0,0.0
2894022903,Red,1,1,0,1,1.0,4.0,11.0,58823.0,3.0
2894080908,Blue,0,1,1,0,1.0,2.0,10.0,57770.0,0.0
2894080908,Red,1,0,0,1,0.0,0.0,2.0,45762.0,2.0
2894149291,Blue,0,0,0,1,0.0,1.0,6.0,45383.0,0.0
2894149291,Red,1,1,1,0,1.0,3.0,11.0,60995.0,2.0
2894168443,Blue,0,1,0,1,1.0,3.0,11.0,58496.0,1.0
2894168443,Red,1,0,1,0,0.0,0.0,1.0,47338.0,1.0
2894215909,Blue,1,1,0,0,0.0,1.0,9.0,55709.0,1.0
2894215909,Red,0,0,1,1,0.0,0.0,2.0,45385.0,1.0
