ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2765289814,2584.0,4505.333333333333,-1921.3333333333333,5
0,2765289814,2932.6666666666665,2990.0,-57.333333333333336,6
0,2765289814,2338.3333333333335,3726.3333333333335,-1388.0,7
0,2765289814,3643.0,3003.0,640.0,8
0,2765289814,5333.666666666667,3310.6666666666665,2023.0,9
0,2765411393,968.3333333333334,1131.3333333333333,-163.0,1
0,2765411393,2467.0,2138.0,329.0,2
0,2765411393,3354.6666666666665,3159.3333333333335,195.33333333333334,3
0,2765411393,4761.333333333333,3138.0,1623.3333333333333,4
0,2765411393,4312.666666666667,3506.0,806.6666666666666,5
0,2765411393,4303.666666666667,3976.6666666666665,327.0,6
0,2765411393,4797.0,4503.333333333333,293.6666666666667,7
0,2765411393,3681.6666666666665,3273.0,408.6666666666667,8
0,2765411393,4263.666666666667,3218.6666666666665,1045.0,9
0,2765496136,1256.25,1456.25,-200.0,1
0,2765496136,3304.25,3530.25,-226.0,2
0,2765496136,3121.0,2831.75,289.25,3
0,2765496136,3769.25,3978.75,-209.5,4
0,2765496136,3883.5,4213.0,-329.5,5
0,2765496136,4174.5,4223.25,-48.75,6
0,2765496136,4900.5,3134.0,1766.5,7
0,2765496136,2561.75,3472.25,-910.5,8
0,2765496136,4186.75,4533.75,-347.0,9
0,2766260855,1250.0,1250.0,0.0,1
0,2766260855,1076.5,847.0,229.5,2
0,2766260855,2625.5,2392.0,233.5,3
0,2766260855,1946.5,2272.0,-325.5,4
0,2766260855,3238.0,1398.0,1840.0,5
0,2766260855,2902.0,2178.0,724.0,6
0,2766260855,3134.5,3281.0,-146.5,7
0,2766260855,6297.0,2076.5,4220.5,8
0,2766260855,3146.0,1995.5,1150.5,9
0,2766334061,1250.0,1250.0,0.0,1
0,2766334061,1032.0,1547.0,-515.0,2
0,2766334061,3153.5,2919.5,234.0,3
0,2766334061,3904.5,3261.5,643.0,4
0,2766334061,1899.0,3848.5,-1949.5,5
